epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.127,2.25822,2.42925,1.49991,0.48311,0.21368,0.29689,0.11826,1.94367,2.3781,1.34018,0.000653846,0.000653846,0.000653846
2,635.789,2.07458,1.80307,1.36202,0.23907,0.41679,0.16845,0.06096,2.14697,2.71006,1.51889,0.00127694,0.00127694,0.00127694
3,942.202,2.03476,1.77549,1.35583,0.38288,0.33593,0.31631,0.1127,2.10694,1.99647,1.46495,0.00185603,0.00185603,0.00185603
4,1226.12,1.98729,1.76095,1.34398,0.4549,0.42146,0.40011,0.17074,1.96347,1.83241,1.36958,0.001802,0.001802,0.001802
5,1476.43,1.95158,1.63914,1.31496,0.45962,0.50233,0.44577,0.17979,1.92058,1.78509,1.37612,0.001736,0.001736,0.001736
6,1725.76,1.93965,1.6287,1.30247,0.45281,0.48523,0.43131,0.18611,1.83165,1.75419,1.31912,0.00167,0.00167,0.00167
7,1974.07,1.92453,1.58974,1.31621,0.49698,0.5255,0.5131,0.23306,1.83244,1.61358,1.32467,0.001604,0.001604,0.001604
8,2223.27,1.93086,1.5653,1.28648,0.40895,0.45257,0.4093,0.18067,1.83573,1.79384,1.34552,0.001538,0.001538,0.001538
9,2471,1.89543,1.56428,1.28851,0.42107,0.40591,0.37912,0.16373,1.9627,2.11864,1.43183,0.001472,0.001472,0.001472
10,2719.36,1.89741,1.51842,1.28549,0.50914,0.52264,0.5184,0.20991,1.83424,1.69781,1.28388,0.001406,0.001406,0.001406
11,2968.04,1.86102,1.52865,1.26312,0.47815,0.57543,0.53488,0.239,1.82652,1.57982,1.27126,0.00134,0.00134,0.00134
12,3216.63,1.85159,1.48021,1.26387,0.52995,0.54121,0.53699,0.23412,1.86667,1.62654,1.32045,0.001274,0.001274,0.001274
13,3466.25,1.85237,1.49138,1.25805,0.56216,0.51011,0.54402,0.24308,1.79985,1.55606,1.29953,0.001208,0.001208,0.001208
14,3714.95,1.83775,1.45298,1.25058,0.52739,0.58009,0.5751,0.26497,1.78229,1.50842,1.2551,0.001142,0.001142,0.001142
15,3963.37,1.83207,1.45021,1.25314,0.58018,0.5381,0.58885,0.26588,1.77367,1.50802,1.28487,0.001076,0.001076,0.001076
16,4212.08,1.86632,1.45573,1.25926,0.56339,0.5298,0.54936,0.24218,1.83444,1.55419,1.28033,0.00101,0.00101,0.00101
17,4460.52,1.81031,1.45032,1.22789,0.58256,0.56214,0.60325,0.27484,1.73702,1.51516,1.25245,0.000944,0.000944,0.000944
18,4708.86,1.80646,1.40772,1.2417,0.56746,0.56765,0.58233,0.26454,1.79966,1.50109,1.30064,0.000878,0.000878,0.000878
19,4957.24,1.80951,1.39137,1.21867,0.53781,0.53655,0.5506,0.24939,1.79261,1.55417,1.27522,0.000812,0.000812,0.000812
20,5203.8,1.77955,1.38942,1.23307,0.56761,0.5381,0.56878,0.26137,1.76662,1.53331,1.26748,0.000746,0.000746,0.000746
21,5446.09,1.75514,1.43577,1.25037,0.57761,0.60031,0.60094,0.27479,1.77932,1.54605,1.26464,0.00068,0.00068,0.00068
22,5687.8,1.75578,1.37637,1.24287,0.53909,0.54432,0.56163,0.25043,1.77102,1.49311,1.24444,0.000614,0.000614,0.000614
23,5929.6,1.75133,1.36941,1.25315,0.57274,0.60653,0.61028,0.28355,1.77553,1.45872,1.2599,0.000548,0.000548,0.000548
24,6172.77,1.71996,1.3253,1.24143,0.59525,0.55988,0.59758,0.27079,1.79108,1.4669,1.26616,0.000482,0.000482,0.000482
25,6414.73,1.70685,1.30766,1.22849,0.58327,0.58771,0.61206,0.27868,1.7804,1.44915,1.27478,0.000416,0.000416,0.000416
26,6657.66,1.68639,1.29069,1.23024,0.59742,0.54466,0.59744,0.28156,1.76357,1.47674,1.27013,0.00035,0.00035,0.00035
27,6899.81,1.68684,1.268,1.23007,0.6172,0.56418,0.62186,0.28175,1.7873,1.43568,1.27333,0.000284,0.000284,0.000284
28,7142.05,1.67439,1.25749,1.22674,0.58694,0.59887,0.61814,0.28565,1.78259,1.41956,1.27998,0.000218,0.000218,0.000218
29,7384.21,1.67028,1.24091,1.2225,0.59135,0.6009,0.62913,0.2871,1.77584,1.40037,1.27032,0.000152,0.000152,0.000152
30,7626.9,1.6666,1.2184,1.20916,0.6049,0.59098,0.63154,0.29447,1.77807,1.40477,1.27058,8.6e-05,8.6e-05,8.6e-05
